cim,origTitle,forgalmazo,bemutato,bevetel,latogato
"AVATAR - A VÍZ ÚTJA","AVATAR: THE WAY OF WATER",FORUM,2022/12/15,2337852532,1034133
AVATAR,AVATAR,"FORUM,INTERCOM",2009/12/17,1846518282,1254599
"STAR WARS : AZ ÉBREDŐ ERŐ","STAR WARS: EPISODE VII - THE FORCE AWAKENS","FÓRUM HUNGARY",2015/12/18,1828263234,1239139
"DEADPOOL & ROZSOMÁK","DEADPOOL & WOLVERINE",FORUM,2024/07/25,1466843842,594276
"AGYMANÓK 2.","INSIDE OUT 2",FORUM,2024/06/13,1415133983,623707
"STAR WARS : AZ UTOLSÓ JEDIK","STAR WARS : THE LAST JEDI","FÓRUM HUNGARY",2017/12/14,1381580624,909730
BARBIE,BARBIE,INTERCOM,2023/07/20,1355848865,686864
"BOSSZÚÁLLÓK: VÉGJÁTÉK","AVENGERS: ENDGAME","FÓRUM HUNGARY",2019/04/25,1338980942,845649
OPPENHEIMER,OPPENHEIMER,UIP,2023/07/20,1190312073,576522
"STAR WARS: SKYWALKER KORA","STAR WARS: THE RISE OF SKYWALKER","FÓRUM HUNGARY",2019/12/19,1165393652,719829
"PÓKEMBER: NINCS HAZAÚT","SPIDER-MAN: NO WAY HOME ",INTERCOM,2021/12/16,1088019060,615232
"GRU 4","DESPICABLE ME 4",UIP,2024/07/04,1079604547,482784
"DŰNE: MÁSODIK RÉSZ","DUNE – PART TWO",INTERCOM,2024/02/29,1066143312,419944
"ZSIVÁNY EGYES: EGY STAR WARS TÖRTÉNET","ROGUE ONE: A STAR WARS STORY","FÓRUM HUNGARY",2016/12/15,1030328437,700417
"TOP GUN: MAVERICK","TOP GUN MAVERICK ",UIP,2022/05/26,977606534,543214
MINYONOK,MINIONS,"UIP DUNA FILM",2015/07/09,967585661,737599
"BOHÉM RAPSZÓDIA","BOHEMIAN RHAPSODY",FORUM,2018/11/01,934446409,648175
"BOSSZÚÁLLÓK – VÉGTELEN HÁBORÚ","AVENGERS: INFINITY WAR","FÓRUM HUNGARY",2018/04/26,903831212,576407
"JÉGVARÁZS 2.","FROZEN 2 ",FORUM,2019/11/21,881467980,616649
"KIS KEDVENCEK TITKOS ÉLETE","SECRET LIFE OF PETS, THE","UIP DUNA FILM",2016/08/04,859331329,660664
"IMÁDLAK UTÁLNI","ANYONE BUT YOU",INTERCOM,2024/01/18,856512812,365708
"MINYONOK: GRU SZÍNRE LÉP","MINIONS: THE RISE OF GRU ",UIP,2022/06/30,837485189,521535
"BEUGRÓ A PARADICSOMBA","TICKET TO PARADISE ",UIP,2022/10/06,774852142,422495
"JÉGKORSZAK 3. - A DÍNÓK HAJNALA 3D","ICE AGE 3.",INTERCOM,2009/07/01,774819097,656234
"MAMMA MIA! SOSE HAGYJUK ABBA","MAMMA MIA! HERE WE GO AGAIN","UIP DUNA FILM",2018/07/19,768004497,574308
"GRU 3","DESPICABLE ME 3","UIP DUNA FILM",2017/06/29,760114093,580382
"MAMMA MIA","MAMMA MIA","UIP DUNA FILM",2008/07/17,750113275,772409
"JÉGKORSZAK 4 - VÁNDORLÓ KOMTINENS","ICE AGE 4 - CONTINENTAL DRIFT",INTERCOM,2012/07/05,742913402,580485
"THOR: SZERELEM ÉS MENNYDÖRGÉS","THOR: LOVE AND THUNDER",FORUM,2022/07/07,738587043,408576
SEMMELWEIS,SEMMELWEIS,INTERCOM,2023/11/30,732809746,345185
"JURASSIC WORLD: VILÁGURALOM","JURASSIC WORLD: DOMINION ",UIP,2022/06/09,725707271,404449
"BAD BOYS – MINDENT VAGY TÖBBET","BAD BOYS – RIDE OR DIE",INTERCOM,2024/06/06,715461138,290718
"JURASSIC WORLD","JURASSIC WORLD","UIP DUNA FILM",2015/06/15,712943372,486984
JOKER,JOKER,INTERCOM,2019/10/03,691103598,466068
"HARRY POTTER-BK",,INTERCOM,2001/12/13,690680836,1034441
"SHREK A VÉGE FUSS EL VÉLE ","SHREK FOREVER AFTER","UIP DUNA FILM",2010/07/08,685411064,537232
"JUMANJI - A KÖVETKEZŐ SZINT","JUMANJI: THE NEXT LEVEL",INTERCOM,2019/12/12,673656405,431841
"A GALAXIS ŐRZŐI: 3. RÉSZ","GUARDIANS OF THE GALAXY VOL. 3 ",FORUM,2023/05/04,672058067,318888
AQUAMAN,AQUAMAN,INTERCOM,2018/12/13,660641441,406381
"HARRY POTTER ÉS A HALÁL EREKLYÉI-2.RÉSZ(7/B)","HARRY POTTER AND THE DEATHLY HALLOWS: PART 2. (7/B)",INTERCOM,2011/07/15,659756250,500835
"DOCTOR STRANGE AZ ŐRÜLET MULTIVERZUMÁBAN","DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS ",FORUM,2022/05/05,656377561,358860
WONKA,WONKA,INTERCOM,2023/12/14,650175525,285858
"JURASSIC WORLD: BUKOTT BIRODALOM","JURASSIC WORLD: FALLEN KINGDOM","UIP DUNA FILM",2018/06/07,648186548,415060
"STAR WARS 2 – KLÓNOK TÁMADÁSA",,INTERCOM,2002/05/16,639434309,811723
"CSIZMÁS, A KANDÚR: AZ UTOLSÓ KÍVÁNSÁG","PUSS IN BOOTS: THE LAST WISH ",UIP,2022/12/08,634082466,336209
"KIS KEDVENCEK TITKOS ÉLETE 2","THE SECRET LIFE OF PETS 2","UIP DUNA FILM",2019/07/04,621410474,455474
"A HOBBIT: AZ ÖT SEREG CSATÁJA","THE HOBBIT: THE BATTLE OF THE FIVE ARMIES","FÓRUM HUNGARY",2014/12/18,621126034,425174
"SHREK 2.",SHREK,"UIP DUNA FILM",2004/07/01,617583806,769557
"MARVEL KAPITÁNY","CAPTAIN MARVEL","FÓRUM HUNGARY",2019/03/07,615769086,388753
"STAR WARS III.RÉSZ - A SITH-EK BOSSZÚJA","STAR WARS EPISODE III.",INTERCOM,2005/05/19,614224784,714497
"GYŰRŰK URA : A KIRÁLY VISSZATÉR","LORD OF THE RING",INTERCOM,2004/01/08,613977148,728214
"ÍGY NEVELD A SÁRKÁNYODAT 3.","HOW TO TRAIN YOUR DRAGON: THE HIDDEN WORLD","UIP DUNA FILM",2019/02/21,610011575,429595
"AZ OROSZLÁNKIRÁLY","THE LION KING","FÓRUM HUNGARY",2019/07/18,601858942,406313
UNCHARTED,UNCHARTED,INTERCOM,2022/02/10,601160305,338767
KINCSEM,KINCSEM,"FÓRUM HUNGARY",2017/03/16,594593379,456666
"JUMANJI - VÁR A DZSUNGEL","JUMANJI: WELCOME TO THE JUNGLE",INTERCOM,2017/12/21,590858225,402348
"GYŰRŰK URA – A GYŰRŰ SZÖVETSÉGE",,INTERCOM,2002/01/10,582248714,804209
"TITANIC: 25. ÉVFORDULÓ","TITANIC: 25TH ANNIVERSARY  ",FORUM,2023/02/09,571620804,1083107
"BAD BOYS – MINDÖRÖKKÉ ROSSZFIÚK","BAD BOYS FOR LIFE",INTERCOM,2020/01/16,570782831,346022
